lng,lat
103.853815,1.275281
103.866696,1.275196
103.852235,1.277401
103.856524,1.280195
103.86096,1.265959
103.863063,1.271408
103.864069,1.282564
103.859523,1.284051
103.858124,1.280714
103.858645,1.279346
103.848938,1.275018
103.852321,1.280306
103.860081,1.285747
103.860694,1.283876
103.853151,1.277451
103.860652,1.28596
103.853568,1.280471
103.854223,1.280127
103.852792,1.280725
103.852905,1.280716
103.865084,1.281716
103.85275,1.282283
103.868682,1.279064
103.864893,1.277855
103.867869,1.278861
103.864951,1.276352
103.863465,1.299834
103.864332,1.291045
103.858525,1.293432
103.857831,1.294972
103.85985,1.294807
103.858456,1.295408
103.860389,1.293518
103.86034,1.292694
103.855853,1.291884
103.85635,1.291395
103.859633,1.292433
103.858609,1.29242
103.860242,1.290789
103.859043,1.291073
103.86328,1.289436
103.855997,1.289859
103.84666,1.28421
103.847629,1.28254
103.849398,1.28335
103.849043,1.282625
103.849373,1.28334
103.849424,1.283356
103.849426,1.283367
103.849426,1.283367
103.849515,1.283457
103.849587,1.283562
103.849576,1.283571
103.849576,1.283571
103.849589,1.283578
103.849589,1.283578
103.849189,1.282863
103.848935,1.28267
103.848982,1.282765
103.848982,1.282765
103.849502,1.283469
103.849502,1.283469
103.849168,1.282925
103.849024,1.282744
103.849187,1.283083
103.849187,1.283083
103.849227,1.282814
103.849402,1.283374
103.849058,1.282772
103.849005,1.282765
103.849166,1.283074
103.849058,1.283259
103.849094,1.28332
103.849077,1.2833
103.849011,1.283351
103.849011,1.283351
103.849011,1.283351
103.849011,1.283351
103.848843,1.28298
103.848843,1.28298
103.849112,1.283326
103.849112,1.283326
103.848718,1.283114
103.854639,1.276427
103.848842,1.28302
103.855519,1.274791
103.852969,1.277603
103.852693,1.277972
103.860578,1.270809
103.857123,1.270102
103.869169,1.28067
103.870916,1.280796
103.858998,1.283539
103.859245,1.281797
103.851391,1.279081
103.850974,1.278451
103.851366,1.280268
103.852483,1.279286
103.858481,1.283254
103.860569,1.284466
103.853068,1.277359
103.85523,1.279672
103.853843,1.279414
103.853414,1.280185
103.852875,1.281352
103.863292,1.270818
103.866685,1.279566
103.868236,1.278604
103.866422,1.278199
103.865958,1.280571
103.864984,1.277065
103.876576,1.282228
103.854427,1.286484
103.855615,1.289864
103.859313,1.295115
103.858038,1.294531
103.859636,1.29541
103.859036,1.295597
103.861139,1.293238
103.860827,1.291836
103.857099,1.293405
103.857243,1.29104
103.861049,1.293218
103.858445,1.290823
103.858361,1.290611
103.857776,1.289568
103.858994,1.288236
103.863221,1.289469
103.847108,1.283972
103.847527,1.283877
103.849424,1.283356
103.849398,1.28335
103.849426,1.283367
103.849373,1.28334
103.849515,1.283457
103.849515,1.283457
103.849587,1.283562
103.849589,1.283578
103.849587,1.283562
103.849189,1.282863
103.849576,1.283571
103.848935,1.28267
103.849189,1.282863
103.849502,1.283469
103.848935,1.28267
103.848982,1.282765
103.849168,1.282925
103.849168,1.282925
103.849187,1.283083
103.849024,1.282744
103.849444,1.283399
103.849444,1.283399
103.849058,1.282772
103.849402,1.283374
103.849005,1.282765
103.849166,1.283074
103.849094,1.28332
103.849094,1.28332
103.849046,1.283244
103.849046,1.283244
103.849011,1.283351
103.849011,1.283351
103.849083,1.283347
103.849083,1.283347
103.849112,1.283326
103.848843,1.28298
103.848718,1.283114
103.848718,1.283114
103.848326,1.283626
103.848326,1.283626
103.848768,1.282947
103.84911,1.283146
103.84911,1.283146
103.848826,1.28298
103.84879,1.283141
103.848744,1.282833
103.848565,1.28253
103.84879,1.283141
103.84879,1.283141
103.84866,1.28272
103.848716,1.282808
103.848681,1.282758
103.848632,1.282718
103.84866,1.282795
103.848401,1.282593
103.851059,1.282372
103.850982,1.282463
103.851495,1.281782
103.850996,1.281414
103.850977,1.284812
103.851016,1.283357
103.848625,1.282663
103.848801,1.283098
103.849231,1.285929
103.851193,1.281872
103.850554,1.281736
103.850914,1.28222
103.852286,1.281675
103.850509,1.280718
103.850967,1.283185
103.851426,1.284225
103.851804,1.283426
103.85029,1.285411
103.851849,1.283996
103.847517,1.284591
103.851494,1.28377
103.849832,1.284399
103.85009,1.285002
103.849534,1.284196
103.849333,1.284518
103.849056,1.283226
103.849048,1.283255
103.84913,1.283349
103.849033,1.283244
103.849031,1.283271
103.848175,1.283781
103.85181,1.284256
103.852014,1.284793
103.847797,1.284817
103.848305,1.285074
103.849953,1.284496
103.850015,1.284844
103.849641,1.284547
103.849518,1.284174
103.849056,1.283226
103.849048,1.283255
103.84913,1.283349
103.849033,1.283244
103.848175,1.283781
103.848175,1.283781
103.848285,1.283855
103.849031,1.283271
103.848821,1.283317
103.848821,1.283317
103.848474,1.283757
103.848335,1.283877
103.848236,1.283797
103.848474,1.283757
103.848311,1.283848
103.848311,1.283848
103.848479,1.283726
103.848484,1.283701
103.848247,1.283789
103.848479,1.283726
103.848285,1.283855
103.848821,1.283317
103.848335,1.283877
103.848236,1.283797
103.848311,1.283848
103.848484,1.283701
103.848247,1.283789
103.848285,1.283855
103.848335,1.283877
103.848474,1.283757
103.848236,1.283797
103.848479,1.283726
103.848247,1.283789
103.848247,1.283806
103.848417,1.283807
103.848247,1.283806
103.848476,1.283699
103.848476,1.283699
103.848136,1.283711
103.84822,1.283778
103.848362,1.283858
103.848262,1.283828
103.848195,1.283769
103.848337,1.283841
103.84827,1.283811
103.848329,1.283875
103.848247,1.283806
103.848417,1.283807
103.848362,1.283858
103.848195,1.283769
103.84827,1.283811
103.848329,1.283875
103.848354,1.28385
103.848417,1.283807
103.848476,1.283699
103.848136,1.283711
103.84822,1.283778
103.848262,1.283828
103.848337,1.283841
103.848354,1.28385
103.848346,1.2836
103.848354,1.28385
103.848342,1.283561
103.848395,1.28352
103.848425,1.283569
103.848422,1.283517
103.848742,1.2832
103.84882,1.283128
103.84875,1.283167
103.848716,1.283065
103.84918,1.285977
103.848775,1.283209
103.849082,1.286023
103.849106,1.285999
103.849005,1.286103
103.849082,1.286023
103.848885,1.286122
103.848377,1.286329
103.849005,1.286103
103.848877,1.286742
103.848039,1.282796
103.8483,1.286364
103.848359,1.283567
103.848371,1.283515
103.848361,1.283565
103.848139,1.283654
103.848498,1.283201
103.848414,1.283559
103.848809,1.283158
103.84868,1.283056
103.84923,1.285952
103.848875,1.2831
103.849121,1.285998
103.849197,1.285977
103.849005,1.286103
103.849082,1.286023
103.848913,1.28614
103.849005,1.286103
103.84883,1.286162
103.8483,1.286364
103.848928,1.286597
103.848901,1.286753
103.848257,1.286381
103.847092,1.284422
103.84747,1.284255
103.848283,1.286372
103.847629,1.284181
103.847092,1.284422
103.84772,1.284106
103.84747,1.284255
103.847561,1.284203
103.847619,1.28415
103.84772,1.284106
103.847292,1.284684
103.847619,1.28415
103.847392,1.284617
103.847772,1.28406
103.847446,1.284592
103.847392,1.284617
103.847488,1.284575
103.847446,1.284592
103.850602,1.284472
103.847488,1.284575
103.848002,1.286458
103.84747,1.284255
103.850028,1.284028
103.847561,1.284203
103.850607,1.282102
103.847629,1.284181
103.848214,1.286389
103.847619,1.28415
103.847772,1.28406
103.847092,1.284422
103.847292,1.284684
103.847561,1.284203
103.847446,1.284592
103.847629,1.284181
103.847488,1.284575
103.84772,1.284106
103.847772,1.28406
103.847742,1.284373
103.847292,1.284684
103.850556,1.282197
103.847392,1.284617
103.847446,1.284592
103.847742,1.284373
103.850695,1.284281
103.850051,1.28185
103.848738,1.287177
103.850744,1.283991
103.848721,1.287143
103.848738,1.287177
103.848664,1.287045
103.848704,1.28712
103.848658,1.286937
103.848664,1.287045
103.848635,1.286868
103.848658,1.286937
103.848601,1.286822
103.848635,1.286868
103.848573,1.286768
103.848573,1.286768
103.848544,1.286725
103.848573,1.286768
103.848499,1.286667
103.848516,1.28669
103.848476,1.286627
103.848499,1.286667
103.848721,1.286348
103.848804,1.286272
103.848617,1.286952
103.848712,1.286261
103.847087,1.284778
103.850925,1.28398
103.84873,1.286474
103.848721,1.287143
103.847811,1.284569
103.848686,1.287097
103.848738,1.287177
103.848658,1.286988
103.848721,1.287143
103.848641,1.286902
103.848664,1.287045
103.848601,1.286822
103.848658,1.286988
103.848641,1.286902
103.848573,1.286768
103.848601,1.286822
103.848544,1.286725
103.848573,1.286768
103.848516,1.28669
103.848544,1.286725
103.848476,1.286627
103.848516,1.28669
103.848804,1.286272
103.848476,1.286627
103.84855,1.286799
103.848804,1.286272
103.848694,1.287106
103.8487,1.286338
103.847811,1.284569
103.847037,1.284634
103.847661,1.284653
103.847087,1.284778
103.847586,1.28472
103.847037,1.284634
103.84702,1.284611
103.847661,1.284653
103.84735,1.284656
103.847048,1.284686
103.847492,1.284587
103.847526,1.284564
103.84702,1.284611
103.847583,1.284524
103.847657,1.28449
103.847259,1.284685
103.847697,1.284456
103.847458,1.284593
103.847771,1.284398
103.847526,1.284564
103.847834,1.284358
103.847555,1.284541
103.84779,1.284346
103.847657,1.28449
103.847653,1.284669
103.847697,1.284456
103.847048,1.284686
103.847737,1.284433
103.847806,1.284375
103.847586,1.28472
103.847789,1.284391
103.847207,1.284811
103.847653,1.284669
103.847458,1.284593
103.847048,1.284686
103.847526,1.284564
103.847586,1.28472
103.847555,1.284541
103.847207,1.284811
103.847583,1.284524
103.847458,1.284593
103.847697,1.284456
103.847737,1.284433
103.847492,1.284587
103.847806,1.284375
103.847555,1.284541
103.847789,1.284391
103.847583,1.284524
103.84779,1.284346
103.847657,1.28449
103.847737,1.284433
103.847771,1.284398
103.847834,1.284358
103.847936,1.284312
103.84779,1.284346
103.853103,1.286279
103.851442,1.282214
103.847936,1.284312
103.851867,1.283722
103.853718,1.286903
103.852916,1.282782
103.85171,1.282103
103.853432,1.283977
103.852578,1.284073
103.853139,1.283636
103.849404,1.286307
103.854128,1.284596
103.84933,1.286398
103.849364,1.286341
103.849324,1.286421
103.84933,1.28641
103.849038,1.287881
103.849302,1.286461
103.848547,1.285809
103.85408,1.28594
103.849038,1.287881
103.851708,1.28359
103.847936,1.284312
103.852621,1.284802
103.853345,1.282489
103.84786,1.28554
103.849404,1.286307
103.853558,1.287043
103.849359,1.286358
103.852125,1.283106
103.849324,1.286421
103.852752,1.285194
103.849302,1.286461
103.852815,1.283802
103.849038,1.287881
103.849404,1.286307
103.849347,1.286381
103.849324,1.286421
103.849302,1.286461
103.849256,1.286576
103.849239,1.286605
103.849205,1.28669
103.849038,1.287881
103.849199,1.286713
103.849239,1.286605
103.849182,1.286753
103.849222,1.28665
103.849153,1.286845
103.849136,1.286885
103.849199,1.286713
103.849119,1.28696
103.849182,1.286753
103.849102,1.287006
103.849171,1.286788
103.849091,1.287047
103.849136,1.286885
103.849256,1.286576
103.849119,1.28696
